SessionId	ItemId	Time
0	0	0
0	1	1
0	2	2
0	3	3
0	2	4
0	4	5
0	5	6
0	2	7
0	6	8
0	7	9
1	1	0
1	2	1
1	3	2
1	2	3
1	4	4
1	5	5
1	2	6
1	6	7
1	7	8
1	8	9
3	3	0
3	2	1
3	4	2
3	5	3
3	2	4
3	6	5
3	7	6
3	8	7
3	9	8
3	10	9
4	2	0
4	4	1
4	5	2
4	2	3
4	6	4
4	7	5
4	8	6
4	9	7
4	10	8
4	1	9
6	5	0
6	2	1
6	6	2
6	7	3
6	8	4
6	9	5
6	10	6
6	1	7
6	11	8
6	11	9
7	2	0
7	6	1
7	7	2
7	8	3
7	9	4
7	10	5
7	1	6
7	11	7
7	11	8
7	11	9
8	6	0
8	7	1
8	8	2
8	9	3
8	10	4
8	1	5
8	11	6
8	11	7
8	11	8
8	11	9
9	7	0
9	8	1
9	9	2
9	10	3
9	1	4
9	11	5
9	11	6
9	11	7
9	11	8
9	12	9
10	8	0
10	9	1
10	10	2
10	1	3
10	11	4
10	11	5
10	11	6
10	11	7
10	12	8
10	13	9
11	9	0
11	10	1
11	1	2
11	11	3
11	11	4
11	11	5
11	11	6
11	12	7
11	13	8
11	14	9
12	10	0
12	1	1
12	11	2
12	11	3
12	11	4
12	11	5
12	12	6
12	13	7
12	14	8
12	15	9
13	1	0
13	11	1
13	11	2
13	11	3
13	11	4
13	12	5
13	13	6
13	14	7
13	15	8
13	3	9
17	11	0
17	12	1
17	13	2
17	14	3
17	15	4
17	3	5
17	1	6
17	16	7
17	17	8
17	12	9
19	13	0
19	14	1
19	15	2
19	3	3
19	1	4
19	16	5
19	17	6
19	12	7
19	18	8
19	19	9
21	15	0
21	3	1
21	1	2
21	16	3
21	17	4
21	12	5
21	18	6
21	19	7
21	20	8
21	21	9
23	1	0
23	16	1
23	17	2
23	12	3
23	18	4
23	19	5
23	20	6
23	21	7
23	22	8
23	23	9
24	16	0
24	17	1
24	12	2
24	18	3
24	19	4
24	20	5
24	21	6
24	22	7
24	23	8
24	24	9
25	17	0
25	12	1
25	18	2
25	19	3
25	20	4
25	21	5
25	22	6
25	23	7
25	24	8
25	25	9
27	18	0
27	19	1
27	20	2
27	21	3
