epoch val_recall@3_x19
5 0.351359
10 0.407879
15 0.449216
20 0.473295
25 0.491121
30 0.501555
35 0.510752
40 0.518043
45 0.525334
50 0.526738
55 0.532056
60 0.536102
65 0.540517
70 0.540785
75 0.544096
80 0.544430
85 0.549279
90 0.547707
95 0.550349
100 0.549580
105 0.552958
110 0.551319
115 0.555433
120 0.557038
125 0.555801
130 0.558811
135 0.558343
140 0.562122
145 0.561319
150 0.558844
155 0.563025
160 0.565633
165 0.563760
170 0.563928
175 0.559981
180 0.565767
185 0.568509
190 0.567138
195 0.566001
200 0.565098
