epoch val_recall@3_x19
5 0.205010
10 0.243336
15 0.261530
20 0.271563
25 0.277683
30 0.280459
35 0.282733
40 0.284238
45 0.286011
50 0.288285
55 0.288820
60 0.289622
65 0.289723
70 0.290392
75 0.291629
80 0.292733
85 0.292900
90 0.292666
95 0.293368
100 0.293870
105 0.294238
110 0.293870
115 0.293602
120 0.295208
125 0.295575
130 0.295442
135 0.296211
140 0.295308
145 0.294806
150 0.295609
155 0.297515
160 0.297147
165 0.297080
170 0.296913
175 0.297214
180 0.295843
185 0.296779
190 0.297381
195 0.298318
200 0.298452
